Program,ID,Name,Dscription,Comments,Program/Accelerator Interim Director review,Complementarity of Results SI,Efficiencies/Strategic Benefit SI,Budget allocation from Project to Program,Total Budget for this Program,Total approximate project remaining budget,Project Summary,Project results,Start Date,End Date,Center,Location,Countries,Source of funding,Funder
Sustainable Farming ,22,1414-EC00 DESIRA,"DeSIRA- Climate-smart innovations to improve productivity, profitability, and sustainability of agriculture and food systems in Malawi through multidisciplinary research",,Agree,Med,Med,0.3,450000,1500000,"The goal of the project is to improve productivity, profitability and sustainability of agriculture and food systems in Malawi. Activities will aim at achieving three specific objectives. 1) develop climate-smart integrated technological innovations that can contribute to enhanced resilience of agricultural and food systems; 2) gaining insights in pathways to adoption of technological innovation; 3) information that is of interest to policy makers and scaling partner will be generated and shared with local, national, and international policy makers and scaling partners.",,09-Dec-19,29-Sep-25,International Potato Center / Centro Internacional de la Papa,country,Malawi,Bilateral,
Sustainable Farming ,85,Developing and introducing high-yielding climate-resilient pigeon pea cultivars for intensification and diversification of cropping systems and to satisfy the nutritional requirement of small holder farmers of Odisha,Developing and introducing high-yielding climate-resilient pigeon pea cultivars for intensification and diversification of cropping systems and to satisfy the nutritional requirement of small holder farmers of Odisha,,Agree,Med,Med,0.5,474984,949968,"To promote high-yielding climate-resilient pigeonpea cultivars for intensification of cropping systems and to meet the nutritional and other livelihood needs of small-holder farmers in Odisha
1. Strengthen the pigeonpea breeding program of the Centre for Pulses Research (CPR), Berhampur and RRTTS, Bhawanipatna, from OUAT by developing a strong pigeonpea breeding pipeline.
2. Modernize pigeonpea breeding operations of Centre for Pulses Research (CPR), Berhampur, and RRTTS, Bhawanipatna from OUAT
3. Identify, evaluate and release high-yielding, fusarium wilt and sterility mosaic-resistant varieties and hybrids of pigeonpea in early and mid-early duration and well adapted to cropping systems of the target districts
4. Evaluate the potential of newly developed photo-insensitive super-early pigeonpea varieties with market-preferred traits in rice fallows
5. Promote the adoption of farmer and market-preferred varieties and hybrids of pigeonpea with Improved Pigeonpea Production Technologies (IPPT) through citizen science approach “triadic comparisons of technologies(tricot).”
6. To build the capacity of farmers and Farmer Producers Organizations (FPOs) in seed production of farmer-preferred improved varieties for improving the availability of genetically pure seed.",,31-Mar-22,30-Mar-27,International Crops Research Institute for the Semi-Arid Tropics,country,India,Bilateral,
Sustainable Farming ,36,T-PJ-003188-Development and promotion of aflatoxin biologica,"Development and promotion of aflatoxin biological control in the groundnut, sorghum, sesame, and cottonseed value chains to improve publ",,Agree,High,High,1,1460156.26,1460156.26,,,14-Oct-20,29-Sep-25,International Institute of Tropical Agriculture,country,Nigeria,Bilateral,
Sustainable Farming ,154,D-200371-Development and Scaling of Introduced Plant Species,Development and Scaling of Introduced Plant Species for Food and Feed Crops with a Functional Seed Delivery System in Abu Dhabi,,Agree,High,Med,0.5,83927.125,167854.25,"The main objective of this project is to increase the availability and to ensure the sustainability of high value feed and food crop production with drought, heat, and salinity tolerant species for different agroecological zones in Abu Dhabi. 
The studies are to be carried through participatory adaptive research in a systemic mode of operation covering the different aspects of soil, water, climate, plant, seed, livestock and socio-economic factors. The studies aim to investigate in conventional and alternative fodder and food crop productivity under the prevalent desert farming ecosystems of Abu Dhabi, covering the basic crop management practices under the prevalent biotic and abiotic constraints of water, soil fertility, pests and socio-economic conditions.
By the end of the project, the project research team will release a report consisting of a list of adapted germplasms to the Abu Dhabi environmental conditions with the associated agriculture inputs, agronomic package, the appropriate post-harvest operations, biomass and seed yields, feed quality attributes, socioeconomic benefits and value chain analysis.",,13-Sep-23,30-Nov-26,International Center for Agricultural Research in the Dry Areas,country,The United Arab Emirates,Bilateral,
Sustainable Farming ,101,R-A-2022-52-Direct Seeding Indo Gangetic,Direct Seeding Indo Gangetic,,Agree,Med,Med,0.2,811695.4,4058477,"The project will introduce a planned deployment of haplotypes essential to high performance under reduced-irrigation Dry Direct Seeding. This is achieved in parallel to quantitative breeding efforts through IRRI´s centralized, demand-driven trait development pipeline, which is designed to deliver robust, large-effect alleles needed for specific market segments/TPEs in a form that breeders can easily incorporate without the penalties usually associated with introducing new genetics to elite material.",,30-Sep-22,29-Sep-27,International Rice Research Institute,country,India,Window 3,
Sustainable Farming ,183,R-A-2023-20-DSR-India,DSR-India,,Agree,Med,Med,0.6,381091,635153.074,"The project focuses on increasing the productivity, profitability, and environmental sustainability of rice-based systems in India. It aims to do this by promoting the adoption of mechanized dry direct-seeded rice (DSR) in selected rice-producing states. The project seeks to address challenges such as labor and water shortages, rising cultivation costs, and climate change impacts. The project will be implemented over three years in 18 districts across eight Indian states.",,31-Dec-23,30-Dec-25,International Rice Research Institute,country,India,Bilateral,
Sustainable Farming ,79,N-632001-EFF CASH TXFR ON COFFE PR,EFF CASH TXFR ON COFFE PR,,Agree,Med,Med,0.25,333631.75,1334527,"The objective of this project is to provide a short overview of proposed research designs for an evaluation analyzing the effect of cash transfers delivered by GiveDirectly to coffee farmers in Sidama region, Ethiopia. Coffee plays a central role in the Ethiopian economy; it is the most important export crop, and is grown by more than four million smallholders. Evidence suggests that coffee production enhances food security for households that grow it. However, coffee yields in Ethiopia remain relatively low (around 30% below the worldwide mean), and these relatively low yields may reflect in part poor farm management and agronomic practices. The key research questions for this project include: 1) What are the effects of cash transfers on a range of economic outcomes for coffee producing households, including: investment in coffee production and coffee yield and profits; investment in other economic activities; assets, consumption, and poverty? 2) How do these effects vary with respect to the timing of the cash transfer (in the lean season vis-à-vis in the key season for coffee investments and/or vis-à-vis a chosen disbursement schedule)? 3) Are the effects of transfers of various timings also heterogeneous for households that have different time preferences at baseline, such that households that are more impatient show more positive effects of a transfer timed to key investment opportunities?",,10-Jan-22,04-Jul-29,International Food Policy Research Institute,country,Ethiopia,Bilateral,Grow More
Sustainable Farming ,128,Enhancing groundnut productivity through increased quality seed access in Odisha,Enhancing groundnut productivity through increased quality seed access in Odisha,,Agree,Med,Med,0.3,901745.4,3005818,"The overall objective of the project is to increase access to quality groundnut seed for cultivation in the state.
Specific goals:
1. Train the farmers in groundnut seed production.
2. Increase the production and supply of quality groundnut seed.
3. Replace old and obsolete varieties with new improved groundnut varieties.",,31-Mar-23,30-Mar-28,International Crops Research Institute for the Semi-Arid Tropics,country,India,Bilateral,
Sustainable Farming ,122,T-PJ-003835-EU/IITA - FOOD SAFETY FOR AFRICA - ADDRESSING FO,EU/IITA - FOOD SAFETY FOR AFRICA - ADDRESSING FOOD SAFETY CHALLENGES IN THE AFRICAN INFORMAL SECTOR THROUGH INNOVATIVE STRATEGIES & USE CASES (RAFS)-PJ-3835...T.FALADE,,Agree,Med,Med,0.25,805229.3667,3220917.467,,"Generate GAP analysis and landscape reports on the informal sector with evidence-based recommendations. Develop food safety knowledge platforms, directories, and evaluation reports. Establish communication, advocacy, and innovation plans, alongside ethical committee setup, work plans, and data management guidelines.",11-Jan-23,29-Nov-27,International Institute of Tropical Agriculture,country,"Egypt, South Africa, Cameroon, Nigeria, Kenya, Ghana",Bilateral,
Sustainable Farming ,87,D-200329-FARMS4CLIMATE- Smart Governance and Operational Mod,FARMS4CLIMATE- Smart Governance and Operational Models for Agroecological Carbon Farming,,Agree,High,Med,1,10910.33,10910.33,"The main objective of FARMS4CLIMATE consortium is making carbon farming operational for smallholders. This will be made possible by the ad hoc development of a number of digital enablers, including the creation of a ready-to-market C credit platform, smart tools to monitor, report and validate the various C pools at the farm level, a system to account and exchange C credits along the value chain and, short distribution chains where the differential value propositions are based on virtuous C management.
The FARMS4CLIMATE consortium executes living labs with such a strategic approach in five different Mediterranean locations (two in Italy, one in Egypt, one in Tunisia and, one in Spain). Each program will focus on a specific regenerative practice, aiming at creating five Community Based Organizations (CBOs) that can drive economic growth by flagshipping virtuous carbon management embedded into agroecological principles and thanks to frugal innovations.",,31-Mar-22,30-Mar-25,International Center for Agricultural Research in the Dry Areas,country,"Egypt, Tunisia",Bilateral,
Sustainable Farming ,147,R-A-2023-56,Fertilize Right Vietnam,,Agree,High,High,0.6,471188,785314,"This project will introduce the integrated interventions of technologies and practices, capacity development, and enabling policies in favor of innovations of precision crop establishment to reduce seed and fertilizer use, site-specific nutrient management, and low-carbon and organic alternatives to chemical fertilizers. These interventions would substantially contribute to the following goal and objectives of the USDA’s Fertilize Right project i) increased fertilizer-use efficiency, (ii) enhanced fertilizer effectiveness, and (iii) developed alternatives to traditional manufactured chemical fertilizers to improve soil health and soil fertility.",,16-Jul-23,30-Mar-27,International Rice Research Institute,country,,Bilateral,
Sustainable Farming ,184,D-100777-GCC Date Palm,GCC Date Palm Project,,Agree,Med,Med,0.825,1941177,2352942,"The proposed program envisions to increase the adoption of appropriate desert farming innovation packages and evidence-based investment in desert farming by public and private sectors. This will be done through establishment of Innovation Platforms (IPs) which will be physically located in strategically selected locations considering the mobility zones of stakeholders across the relevant agribusiness landscape. Main and satellite IPs will be developed, operated and managed. The main IPs are full-fledged integrated research and development sites managed by networks of collaborators across ecosystems within one of the three prevalent production systems in the region, namely seasonal crops, fruit trees and livestock and feed.  The program will also establish and strengthen partnerships and capacities and devise policy pathways for sustainable transformation to address common challenges in desert farming. Additionally, the project will support inclusive entrepreneurship through an incubator component for capacity development of youth and women.",,31-Dec-23,11-Jul-30,International Center for Agricultural Research in the Dry Areas,country,"Bahrain, Saudi Arabia, The United Arab Emirates, Qatar, Kuwait, Oman",Bilateral,
Sustainable Farming ,111,R-A-2022-71-ICAR 2023 - 2027,ICAR 2023 - 2027,,Agree,High,High,0.35,787500,2250000,"The project has 5 thematic work areas, namely: 1) Establish a framework for developing market oriented rice varieties with higher genetic gains using IRRI’s OneRice Breeding Strategy; 2) Integrate direct seeded rice system for India by combining the strengths of DSR-breeding with best agronomic practices, with special emphasis on the Eastern India; 3) Rice-based Health and Nutrition through improved starch quality to lower the glycemic index (GI) and increased nutrient density in the milled rice through breeding interventions; 4) Climate Resilient Rice through the development of agronomic practices that help to mitigate the effects of rice cultivation on the climate, specifically in terms of greenhouse gas (GHG) emissions.; 5) Integrated Capacity Building.",,31-Dec-22,30-Dec-27,International Rice Research Institute,country,India,Window 3,
Sustainable Farming ,74,T-PJ-003763-IITA Accelerated Innovation Delivery Initiative,IITA Accelerated Innovation Delivery Initiative – AID-I: Great Lakes Highlands,,Agree,High,High,0.5,1714718.11,3429436.22,"The Accelerated Innovation Delivery Initiative in the Great Lakes Region (AID-I GLR) is a two-year initiative funded by USAID to enhance food and nutrition security in Burundi, the Democratic Republic of Congo and Rwanda. It aims to reach 1.2 million farmers by rapidly scaling up proven agricultural technologies and innovations developed primarily by CGIAR and partners. This initiative focuses on creating and structuring partnerships with the private sector, government agencies and NGOs to deliver these technologies, adapted to local needs, along with advisory services to a large network of farmers. AID-I GLR is part of the U.S. response to the global food security crisis, targeting both immediate and long-term impacts on food security in the region.","Two new partnerships were established in Burundi and DRC, and nine market actors enrolled. The project reached 774,965 participants (50% women, 22% youth), exceeding targets. Over 600,000 smallholder farmers received quality seeds, and 92,000 accessed fortified maize flour. Scaling events engaged 350,000 farmers, 770 demonstration plots were established, and 99,000 stakeholders trained. Additionally, 147.2 metric tons of Early Generation Seeds were produced, and market actors sold 8,200 Mt of inputs worth $3.6 million.",09-Jan-22,29-Sep-25,International Institute of Tropical Agriculture,country,Burundi,Window 3,
Sustainable Farming ,185,"UNITED KINGDOM - FCDO -iSPARK: Innovation in sustainability, policy, adaptation and resilience in Kenya (IA Lead of D511)","In Kenya, environmental degradation and climate change threaten the sustainability and resilience of smallholder farming systems. Farmers need timely and accurate climate information combined with agro-advisories to make informed decisions. Meanwhile, policy makers need evidence to prioritize policy choices and investment decisions that contribute to environmental sustainability, climate resilience, and other development goals by mid-century. iSPARK is designed to tailor evidence towards supporting appropriate and contextualised advisory services, policies, and investment in equity-sensitive sustainable and climate-smart innovation in western Kenya, building on CGIAR Initiatives on Climate Resilience and Excellence in Agronomy. The core of iSPARK is developing and using a metric-based approach called Innovation in Sustainability, Resilience, and Adaptation (ISRA) to provide specific evidence for innovations and pathways at different levels, from individual farms to regional policies. iSPARK aims to integrate ISRA metrics into agro-advisories reaching 100,000 farmers; create/support at least one plan/policy; and create/support at least one investment case or funding proposal by 2026.",,Agree,High,High,0.3,406593.996,1355313.32,"In Kenya, environmental degradation and climate change threaten the sustainability and resilience of smallholder farming systems. Farmers need timely and accurate climate information combined with agro-advisories to make informed decisions. Meanwhile, policy makers need evidence to prioritize policy choices and investment decisions that contribute to environmental sustainability, climate resilience, and other development goals by mid-century. iSPARK is designed to tailor evidence towards supporting appropriate and contextualised advisory services, policies, and investment in equity-sensitive sustainable and climate-smart innovation in western Kenya, building on CGIAR Initiatives on Climate Resilience and Excellence in Agronomy. The core of iSPARK is developing and using a metric-based approach called Innovation in Sustainability, Resilience, and Adaptation (ISRA) to provide specific evidence for innovations and pathways at different levels, from individual farms to regional policies. iSPARK aims to integrate ISRA metrics into agro-advisories reaching 100,000 farmers; create/support at least one plan/policy; and create/support at least one investment case or funding proposal by 2026.",,31-Dec-23,30-Dec-26,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,"Kenya, Italy",Window 3 - Restricted,
Sustainable Farming ,243,Increasing Pulses Productivity and Incomes through Science-led Interventions in rice fallows of Odisha,Increasing Pulses Productivity and Incomes through Science-led Interventions in rice fallows of Odisha,,Agree,Med,Med,0.7,3689292.6,5270418,"The overall goal of the mission is to establish exemplar sites of learning demonstrating increased average productivity of agricultural systems in the selected districts of Odisha. The specific objectives are as follows:
1. On-farm participatory evaluation of an early maturing variety of chickpea, pigeonpea and green gram in target districts.
2. Enhancing rice fallows' crop productivity and income by adopting the best bet agronomic practices such as zero tillage and soil test-based micronutrient application.
3. To build the capacity of the farmers and stakeholders in the sustainable management of rice fallows in identified districts of Odisha.",,31-Oct-24,30-Aug-25,International Crops Research Institute for the Semi-Arid Tropics,country,India,Bilateral,
Sustainable Farming ,149,D-200366-Innovative Desert Farming for Resilient Livelihoods,Innovative Desert Farming for Resilient Livelihoods - IDFRL,,Agree,High,Med,1,50448.3,50448.3,"The Innovative Desert Farming for Resilient Livelihoods project aims to realize enhanced resilience and sustainable productivity of desert agricultural systems for increased income and food security. The project works on Increasing adoption of sustainable desert farming technologies and innovative practices for enhanced productivity and improved livelihoods of rural communities. The project has identified a suite of technologies to equitably meet the needs of farmers across the socio-economic ladder serving a total of 3,450 medium to large-scale farmers across the 5 targeted governorates. In addition, the project enhances awareness and knowledge of relevant stakeholders to facilitate wide-scale adoption of recommended technologies adapted to desert agriculture. The project will partner with three major research institutions in Egypt: ARC, NWRC, and DRC. The institutions have well-established research stations that can be used by the project in the selected governorates. The institutions will be instrumental in providing linkages with the target communities, availing staff and equipment for project use, and in ensuring the sustainable continuity of the project results beyond its duration.",,27-Aug-23,27-Aug-25,International Center for Agricultural Research in the Dry Areas,country,Egypt,Bilateral,
Sustainable Farming ,88,R-A-2024-19-ISARC Phase III,ISARC Phase II,,Agree,High,High,0.45,3870416,8600925,"The ISARC program will increase farmers’ incomes, improve food and nutrition security, health, and well-being of smallholder farmers through increased system productivity, reduced yield gaps, enhanced climate resilience, mechanized and digital farming, improved market linkages, modernized value chains enabling entrepreneurship for women and youth, and capacity development.",,31-Mar-22,30-Mar-27,International Rice Research Institute,country,India,Bilateral,
Sustainable Farming ,225,R-A-2024-25-Madhya Pradesh_Rice Inbreds and Hybrids,Madhya Pradesh_Rice Inbreds and Hybrids,,Agree,High,High,0.1,800353.432,8003534.32,"The project aims to (1) develop an annual plan and strategy for sustainable and low carbon rice transformation in target countries; (2) develop training materials on scale-appropriate sustainable and low carbon rice (including hands-on manual, e-learning, and videos); 3) enhance knowledge and adoption of sustainable and low carbon rice through training, field demonstrations, and technology transfers.",,30-Jun-24,29-Jun-29,International Rice Research Institute,country,India,Bilateral,
Sustainable Farming ,181,R-A-2023-67-MHRA,MHRA,,Agree,Med,Med,0.5,289729,579458,"The project aims to identify and evaluate rice varieties and management practices to promote multiple-harvest rice production. This system offers a low-cost, labor-saving intensification approach for rice-based cropping systems in Sub-Saharan Africa. It focuses on adapting rice varieties and management strategies to increase profitability, reduce production costs, and support climate change adaptation in African rice systems. By utilizing ratooning, the project seeks to maximize rice yield and reduce labor inputs, benefiting small-scale producers, especially women farmers.",,31-Dec-23,30-Dec-25,International Rice Research Institute,country,"Mozambique, Uganda, Kenya, Nigeria, Sierra Leone, Madagascar, Senegal",Window 3,
Sustainable Farming ,59,W-D-0392-NET: WaPOR Phase 2,Monitoring land and water productivity by Remote Sensing (WaPOR Phase 2),,Agree,High,High,0.4,800000,2000000,"The outcome of the project is defined as “Increased capacity of FAO Members (Member Nations and Member Organizations) in monitoring terrestrial biomass production and evapotranspiration to assess and improve land and water productivity in rainfed and irrigated agriculture, and contribute to sustainable crop production intensification adapted to a changing climate.”

The three major Outputs of the project are:
1. Consolidated open-access information and related operational services on the terrestrial soil water balance and agricultural land and water productivity, including refinement and expansion towards global coverage of the spatial scales, and creation of longer time series (Spatial database);
2. Strengthened capacities of FAO Members to assess land and water productivity aimed at informed decision making for improved agricultural practices and efficient water management by multiple stakeholder groups to minimize impacts and adapt to climate change and other environmental and societal changes (Capacity development); and
3. Compendium of implementable solutions and tools, co-developed with various stakeholders at different operational scales, from farm to the national level, to effectively increase land and water productivity in agriculture sustainably at field level as well as to support water management, water governance and agricultural policies (Compendium of implementable solutions and tools).","The outcome of the project is defined as “Increased capacity of FAO Members (Member Nations and Member Organizations) in monitoring terrestrial biomass production and evapotranspiration to assess and improve land and water productivity in rainfed and irrigated agriculture, and contribute to sustainable crop production intensification adapted to a changing climate.”

The three major Outputs of the project are:
1. Consolidated open-access information and related operational services on the terrestrial soil water balance and agricultural land and water productivity, including refinement and expansion towards global coverage of the spatial scales, and creation of longer time series (Spatial database);
2. Strengthened capacities of FAO Members to assess land and water productivity aimed at informed decision making for improved agricultural practices and efficient water management by multiple stakeholder groups to minimize impacts and adapt to climate change and other environmental and societal changes (Capacity development); and
3. Compendium of implementable solutions and tools, co-developed with various stakeholders at different operational scales, from farm to the national level, to effectively increase land and water productivity in agriculture sustainably at field level as well as to support water management, water governance and agricultural policies (Compendium of implementable solutions and tools).",07-Dec-21,30-Aug-25,International Water Management Institute,country,"Kenya, Mozambique, Algeria, Iraq, Ethiopia, Pakistan, Mali, Jordan, Tunisia",Bilateral,
Sustainable Farming ,244,R-A-2024-130 CRFM,Odisha Rice Fallow Management,,Agree,High,High,0.5,2526829,5053658,"IRRI's key role is to manage the roll-out or dissemination and demonstration of fallow crops like Green gram, Black Gram, Mustard and Sesame in fallow areas (i.e.,areas lying unused in between two rice cropping seasons) in 44,500 hectares and to support the monitoring and evaluation of this roll-out.
- The Government of Odisha prefers CG Centres to implement this annual project. This is the second time IRRI has been commissioned/selected to implement this. The MOA is similar to the one signed previously.
- Other CGIAR Centres that will implement this project are ICRISAT, ICRAF, and ICARDA. The Government of Odisha will fund them separately.",,31-Oct-24,30-Aug-25,International Rice Research Institute,country,India,Bilateral,
Sustainable Farming ,234,T-PJ-003866-Liberia Land and Soil Resources Knowledge project (Soils4Liberia),PJ-003866: Liberia Land and Soil Resources Knowledge project (Soils4Liberia),,Agree,High,High,0.5,2143269.259,4286538.518,"This project aims to develop a Land & Soil Information System for Liberia to enhance land and soil management. Its main objectives are to create a functional system with reliable data, increase stakeholder awareness and support decision-making for resource conservation, sustainable agriculture and climate resilience. Key outputs include protocols, a comprehensive database, soil property maps, a land use map, Soil Quality Indicator (SQI) maps and land and crop suitability maps. These will aid government agencies, research institutions and NGOs by providing crucial data for policy development, agricultural planning and climate change mitigation. This project seeks to improve land and soil health and support sustainable development.","Develop standard protocols and tools for soil and land use inventory and field campaign management, including a database with primary soil and land use data, soil property maps, land use maps of Liberia, Soil Quality Indicator (SQI) maps, and land and crop suitability maps.",31-Jul-24,30-Jan-29,International Institute of Tropical Agriculture,country,Liberia,Bilateral,
Sustainable Farming ,226,D-200394-Program 2- International host / pathogen Differential Sets:,Program 2- International host / pathogen Differential Sets: Effective Genetic and Sustinable Management of Ascochyta Blight of Chickpea - Phase 2,,Agree,High,Med,0.5,341430.0451,341430.0451,"TRANSFORMED aims to support and promote a largescale adoption of successful agroforestry systems (AFS) in saline and degraded areas to restore soil health, increase biodiversity and productivity of the agroecosystems by overcoming the identified barriers for large-scale implementation.
The project raises awareness and facilitates knowledge transfer and capacity building of the potential of AFS for soil restoration and productivity for farmers and farmers associations, researchers, NGOs, private sector and policy makers. In addition, the project develops and strengthens governance arrangements at community level while co-developing a knowledge sharing and innovation upscaling strategy capitalizing on the existing and new knowledge created to maximize the successful adoption of AFS and a broad multistakeholder support. TRANSFORMED will build up on already AFS designs practiced by pioneer farmers or investigated at on-farm research trials that have been proven to increase the productivity of highly degraded land and improve soil health.",,30-Jun-24,29-Jun-27,International Center for Agricultural Research in the Dry Areas,global,,Bilateral,
Sustainable Farming ,204,D-200368-Project for Enhancement of Agriculture Productivity,Project for Enhancement of Agriculture Productivity,,Agree,High,High,1,10002,10002,"The project aims to scale out a package of combined water-saving technologies, soil health management techniques, on-farm affordable renewable energy solutions, agronomic practices, and improved spatially explicit agronomic recommendations that are adapted to the local context, in three governorates: Minya, representing Upper Egypt; Fayoum, representing Middle Egypt; and Sharkia representing the Delta region. This will ultimately empower rural communities in Egypt to withstand current shocks by strengthening the agricultural productive capacity of scarce and fragile natural resources in Minya, Fayoum, and Sharkia Governorates. The project will equip 15 farms with low-energy drip irrigation and provide 9 scalable light-weight raised bed machines (RBM) for smallholder farming to cultivate 150 Feddans of main strategic crops. The project will also serve around 150 beneficiary farmers with about 12,000 meter-length of improved marwas in three irrigation command areas. Finally, the project will shade up around 1,500 meter-length of marwas in three irrigation command areas by solar panels.",,09-Jan-24,30-Mar-25,International Center for Agricultural Research in the Dry Areas,country,Egypt,Bilateral,
Sustainable Farming ,132,R-A-2022-80-REMET,Reducing methane emissions from rice: from mechanistic understanding to scalable crop management options (REMET),,Agree,High,High,0.5,631850,1263700,"The project will link scientific upstream research on methanogenesis to the development of practical and scalable crop management recommendations to be used by farmers in the field. Innovative practices will be geared toward maximizing multiple benefits by aligning low methane emissions with carbon sequestration as well as with improved agronomic performance. In terms of cropping systems, the project will focus on wetland rice in rice-rice and rice-maize rotations (as general proxy for rice-upland crop rotations) typical for many rice-growing environments of Asia (especially the major delta areas). New mechanistic and empirical findings will be encapsulated in deterministic and process-based simulation modelling to allow for extrapolation and prediction under well-defined environmental conditions (current and future climates).",,14-Apr-23,14-Apr-26,International Rice Research Institute,country,Philippines,Bilateral,Jordan River Foundation
Sustainable Farming ,140,1523-BMGF  RTB Breeding Investment,RTB Breeding Investment,,Agree,Med,Med,0.1,200000,2000000,"In Africa, Root, Tuber, and Banana (RTB) crops (banana, cassava, potato, sweetpotato and yam) play a major role alleviating poverty, improving food security and climate resilience, and providing better livelihoods to farmers. Though plant breeding is a proven approach to develop varieties tailored to meet customer needs, to achieve success a relentless market-driven stance, constant modernization to increase genetic gains delivered on farmer’s fields, and links with seed systems to accelerate adoption of novel varieties are of essence. RTB Breeding, a BMGF investment focused on serving African farmers, aims to:
● Progressively streamline and mainstream modern breeding approaches in RTB crops, aiming to increase genetic gains delivered on farmer’s fields.
● Achieve progress towards developing effective and efficient CGIAR-NARS breeding networks in RTB crops.
● Quickly transition from a “one crop” mindset towards a shared one, fostering and incentivizing cross-crop, cross-center and cross-national programs collaborations to better serve farmers.",,30-Jun-23,30-Mar-25,International Potato Center / Centro Internacional de la Papa,country,"Rwanda, Uganda, Peru, Ethiopia, Kenya",W3,
Sustainable Farming ,133,D-200352-SOILS4MED -Soil Health Monitoring and Information,SOILS4MED -Soil Health Monitoring and Information Systems for Sustainable Soil Management in the Mediterranean Region,,Agree,High,Med,1,218688.09,218688.09,"SOILS4MED engages a large platform of scientists, stakeholders and final users in the co-design of scientifically sound, sustainable, and policy-relevant integrated soil health monitoring systems harmonized across the Mediterranean region and will demonstrate the multiple societal benefits deriving from increased investment in soil data and information. This is implemented in line with the principles of the EU Mission A Soil Deal for Europe. The project will tackle the negative implications of the poor availability and use of Soil Data and Information (SDI) in decision processes. The project will further design sustainable and productive faming systems suited to soil conditions in the Mediterranean region which is facing increasing food security issues and declining small-farmer incomes.",,30-Apr-23,30-Oct-26,International Center for Agricultural Research in the Dry Areas,country,"Tunisia, Jordan, Lebanon, Egypt",Bilateral,
Sustainable Farming ,266,P-1743 SoLAR Phase 2,Solar irrigation for Agricultural Resilience - Phase II,,Agree,High,High,0.5,2900000,5800000,"The program aims to strengthen the enabling environment and unlock investments for sustainable scaling of socially inclusive and climate-resilient solar agri-tech solutions in South Asia (India, Bangladesh) and East Africa (Ethiopia, Kenya). It will deliver across four main outcomes (OCs) that relate to Evidence-based policy design (OC1), Accelerating finance (OC2), Capacity Building (OC3) and Scaling Solar through Living Labs (OC4). Through this, the project will support improvement of energy and water security for vulnerable populations, help mitigate emissions from agriculture and increase adaptive capacity and resilience to climate change.","The program outcomes will strengthen existing governance structures and systems and enable policies in the agriculture and energy sectors to ensure sustainable scaling and financing of solar energy for agriculture and food systems in South Asia and East Africa. The Project will deliver across four main outcomes in selected countries - South Asia (India, Bangladesh) and East Africa (Ethiopia, Kenya). The four outcomes together cover key elements needed to unpack barriers to scale solar energy for agriculture (SESA) - policy, finance, capacity and scaling (Figure 1). The resulting outputs and activities will work together synergistically in a logical and effective way, ensuring that the program goals and impact are achieved. Outcome 1 will develop decision-support tools and principles for effective scaling for policymakers, Outcome 2 will enhance these tools by introducing innovative financing options. However, without adequate capacity and buy-in from end-users, the challenges for scaling solar will persist - Outcomes 3 and 4 will leverage findings from Outcomes 1 and 2 to ensure that stakeholders are informed and equipped to utilize these innovations. Outcome 4 will focus on scaling and optimizing through existing platforms and living labs, such that sustainability of the innovations is well embedded beyond the timeframe of this program.

Tools, methodologies, and products from this phase will be co-designed and developed alongside partners who play leading roles in solar energy upscaling and policy development, and eventually will be embedded and hosted by stakeholders including government (e.g. Ministries such as Ministry of New and Renewable Energy of India, Ministry of Agriculture, Ethiopia) and implementing agencies (e.g. National Solar Help Desk of Bangladesh).",31-Mar-25,30-Mar-28,International Water Management Institute,country,"Bangladesh, Ethiopia, India, Kenya",Bilateral,
Sustainable Farming ,186,W-D-0525- Subsidy Soil Fertility Programme - West Africa,Subsidy Soil Fertility Programme - West Africa,,Agree,High,High,0.6,1800000,3000000,"The Soil Values Project will ensure that sustainable soil fertility management will be a mainstay of Sahelian and Guinea Savanna farming systems, improving the soil fertility and productive capacity of 2 million hectares of farmland in the Sahel and the resilience and well-being of 1.5 million small-scale food producers, particularly women and youth, in four implementation countries: Burkina Faso, Mali, Niger, and Northern Nigeria.","The Soil Values project will ensure that sustainable soil fertility management will be a mainstay of Sahelian and Guinea Savanna farming systems, improving the soil fertility and productive capacity of 2 million hectares of farmland in the Sahel. It will build the resilience and well-being of 1.5 million small-scale food producers, particularly women and youth, in the four implementation countries, Burkina Faso, Mali, Niger, and Northern Nigeria.",31-Dec-23,11-Jul-26,International Water Management Institute,country,"Nigeria, Niger, Burkina Faso, Mali",Bilateral,
